,フェイクニュースURL,フェイクニュースの媒体,フェイクニュース本文,フェイクニュース作成日付,話題の分野,いいね数,RT（含む引用）,DBへのデータ登録日,フェイクニュースの発信国,評価記事のURL,評価記事の本文,評価記事の日付,判定,判定の根拠①,判定の根拠②,判定の根拠③,評価記事作成国
11,https://sumatome.com/su/1335897472732827649,Twitter,　世に知られているニキビ図と私が今までニキビができた時に不調だった箇所を総合的にまとめてみました！スキンケアの仕方やよく触ってしまったり髪の毛が触れやすかったりで異なることがあふので参考までに！私は眉間と顎と左頬ばかりニキビが出る…,2020/12/7,医療・健康,18000,1703,2022/10/4,日本,https://www.buzzfeed.com/jp/harunayamazaki/nikibi-map,インターネット上に出回った「ニキビ図」の情報。皮膚科専門医は「全くの都市伝説」として、医学的根拠に基づかない「誤り」であると指摘します。,2020/12/15,誤り,医学的根拠なし,,,
12,https://twitter.com/Ohsaworks/status/1334722467324162049?s=20&t=yfXSnL_rYzbKeNs5v0ZwLg,Twitter,【悲報】新型コロナ感染者、ほとんどが外国人だった。,2020/12/4,医療・健康,2512,3681,2022/10/3,日本,https://www.buzzfeed.com/jp/kotahatachi/20per-japan-2,"「新型コロナ感染者、ほとんどが外国人」は誤り。元東大特任准教授らがグラフ拡散
ネット上で広がっているのは、「流行曲線：日本国籍とそれ以外」「日本人は累計でグラフの18％」などとするグラフだ。出典は明らかではなく、厚生労働省の担当者も、「多くは日本国籍であると推測できる」と否定している。
新型コロナウイルスの感染拡大をめぐり、感染者のほとんどが「外国人だった」などとして、グラフが拡散している。
7月ごろから広がりを見せているものだが、こうした解釈は「誤り」だ。グラフは「日本人と国籍不明者」の人数をまとめているが、そもそも厚労省は「国籍不明者」の発表を行っていない。",2020/12/8,誤り,"拡散しているグラフ自体にソースは一切明示されていないが、その数値などからしても、厚生労働省が発表している「国内発生動向」を引用しているとみられる。
この動向は、各自治体から送られる個票を厚労省がまとめたもの。陽性者のうち「日本国籍が確認されている者」や「外国籍が確認されている者」の人数も公表されている。
ただし、動向では「国籍不明者」という人数は公表されておらず、全体数などから「日本国籍」と「外国籍」の人数を引いて「それ以外」の人数を算出している可能性が高い。
こうして算出した「それ以外」の人数は、日本人よりも多くなる。しかし留意が必要なのが、そもそもここには「国籍を確認中」だったり、自治体が個別の国籍を公表していなかったりするケースが多く含まれているという点だ。
厚労省新型コロナウイルス感染症対策本部サーベイランス班の担当者もBuzzFeed Newsの取材に「日本国籍が確認されている者」は、あくまではっきりと国籍が確認できたものに限っている、と指摘。
「確認中もしくは公表していない自治体もあり、それ以外の人数が必ずしも外国籍というわけではありません」と回答した。",,,日本
13,https://www.theguardian.com/world/2020/nov/27/truthpaper-the-anti-lockdown-newspaper-bypassing-online-fact-checkers,Website,"When the factcheckers tried to find the source of a viral photo that was spreading across Facebook, they were confused. The picture ? which had been uploaded by users in the UK, US, Australia and elsewhere in the world - showed a headline that made the false claim that a US government agency had declared Covid-19 did not exist. It appeared to be from a real print newspaper, but no credible outlet would publish such a claim.

Then they had a breakthrough: it turned out the headline was from a new self-published conspiracy theorist “truthpaper” called the Light, edited by a man from Manchester who runs a business selling anti-vaccine T-shirts and 9/11 conspiracy merchandise.
Advertisement

The outlet, which has published three issues since it first appeared in September, draws heavily on the gloop of long-running online conspiracies about a new world order, which have attached themselves to the current pandemic. Among other things it encourages people to stop wearing masks and disobey lockdown on the basis that the coronavirus is a hoax.

It has been formed as a reaction to attempts by major tech platforms to clamp down on coronavirus disinformation - but the same tech outlets also help enable its reach: the Light’s distribution relies on a 5,000-strong private Facebook group where volunteers offer to hand out copies and post them through their neighbours’ doors.

The print publication regularly draws on baseless claims about Bill Gates, global plots and mind control using vaccines. It calls for modern-day “Nuremberg trials” for journalists, and repeatedly references Agenda 21, a longstanding conspiracy theory revived by the pandemic.
Darren Smith, the Light’s founder and editor, who performs as Darren Nesbitt, told the Guardian his publication has a print run of 100,000 copies, which are distributed by volunteers who sign up to the outlet’s core message that the coronavirus is a hoax.
Advertisement
Although this circulation number is impossible to verify, it certainly has a broad geographic distribution. The Guardian found readers who picked up copies in the small West Yorkshire town of Holmfirth, coffee shops in London, a hair salon in Farnborough and pubs in rural Leicestershire.
Copies have also been left in petrol stations and distributed at anti-lockdown rallies, while people in Manchester, London and north Wales have found it pushed through their door.
Smith, who also runs an acoustic guitar strings company in Manchester, said funding for his outlet “comes from donations, advertising and subscriptions”. He said YouTube was increasingly removing the conspiracy material he featured in his publication, and since “all the real journalists have left institutions like the Ganduria [sic] now” he was filling “a rather large gap in the market”. He called the pandemic a “charade” and said “censorship” of these claims by tech platforms had driven him to create the print outlet.
The false story that Facebook’s factcheckers traced back to the Light ? that the US government had accepted that Covid was a hoax ? provides a telling example of the complex web of sources that make up a modern disinformation network. It also shows how the online world is increasingly blended with real-life actions, making it difficult to find a simple technical solution to prevent the spread of baseless claims that could undermine support for a vaccination programme.
The hoax claim appears to have originated from an obscure blog and was then put by Smith into his self-published print paper, which was then distributed by volunteers recruited through online anti-lockdown Facebook groups and on Twitter.
After the volunteer distributors had pushed the newspaper through people’s letterboxes and dropped piles in cafes, readers who encountered the publication began taking photos of its headlines and uploading them to Facebook, allowing the false claims to spread across the internet again.
The image of it appearing in a printed paper gave the claim credibility. Meanwhile, Facebook’s third-party factcheckers were left playing catchup and trying to damp down the fire.
Some of the articles featured in the newspaper have been lifted from other mainstream sites without permission and rewritten with the original journalist’s byline left intact. The adverts are largely for fringe conspiracy sites and associated merchandise.
Smith also runs an anti-pandemic clothing chain selling T-shirts with slogans such as “scamdemic” and clothing questioning the 9/11 attacks. He claimed the Guardian was “trying to turn the world into a technocratic tyranny … which will see individual freedom and free speech/wealth creation by ordinary people [become] a thing of the past”.
Flyers and fringe conspiracy newspapers are nothing new but the ability to build a real-world, low-cost newspaper distribution network is, perhaps ironically, made easier by tech companies, which are trying to clamp down on disinformation hosted directly on their platforms.
And although the reach of a viral YouTube video, Facebook post or a WhatsApp message can often be substantially higher, a newspaper such as the Light can help introduce material to new groups who would otherwise not see it, and seed material that can easily be photographed and uploaded online.
… as you’re joining us today from Japan, we have a small favour to ask. Tens of millions have placed their trust in the Guardian’s fearless journalism since we started publishing 200 years ago, turning to us in moments of crisis, uncertainty, solidarity and hope. More than 1.5 million supporters, from 180 countries, now power us financially ? keeping us open to all, and fiercely independent.
Unlike many others, the Guardian has no shareholders and no billionaire owner. Just the determination and passion to deliver high-impact global reporting, always free from commercial or political influence. Reporting like this is vital for democracy, for fairness and to demand better from the powerful.
And we provide all this for free, for everyone to read. We do this because we believe in information equality. Greater numbers of people can keep track of the events shaping our world, understand their impact on people and communities, and become inspired to take meaningful action. Millions can benefit from open access to quality, truthful news, regardless of their ability to pay for it.
Every contribution, however big or small, powers our journalism and sustains our future. Support the Guardian from as little as $1 ? it only takes a minute. If you can, please consider supporting us with a regular amount each month. Thank you.",2020/11/27,医療・健康,,,2022/9/30,イギリス,https://www.buzzfeed.com/jp/kotahatachi/truth-paper,"「コロナウイルスは存在しない」虚偽の“新聞記事”が拡散、日本でも… その実態は？
拡散しているのは、イギリスの個人が発行している新聞であり、陰謀論を流布していると指摘をされている。画像は欧米でも昨年秋ごろに広がって、すでに否定されている。",2021/3/25,誤り,"SARS-CoV-2, the virus that causes COVID-19, was isolated in the laboratory and is available for research by the scientific and medical community.
One important way that CDC has supported global efforts to study and learn about SARS-CoV-2 in the laboratory was by growing the virus in cell culture and ensuring that it was widely available. Researchers in the scientific and medical community can use virus obtained from this work in their studies.
CDC is using SARS-CoV-2 in various ways, including the following:
    To test serum collected from people who have recovered from COVID-19 to look for antibody that might block viral infections
    To determine when people shed live virus during the disease.external icon This information has shaped CDC’s guidance on when to discontinue transmission-based precautions for patients.
SARS-CoV-2 strains supplied by CDC and other researchers can be requested, free, from the Biodefense and Emerging Infections Research (BEI) Resources Repositoryexternal icon by established institutions that meet BEI requirements. These requirements include maintaining appropriate facilities and safety programs, as well as having the appropriate expertise. BEI supplies organisms and reagents to the broader community of microbiology and infectious disease researchers.",,,日本
14,https://twitter.com/katsuyatakasu/status/1312155592237096962?s=20&t=yfXSnL_rYzbKeNs5v0ZwLg,Twitter,"現在の日本の新型コロナウイルスは
1/10000000の死亡率です。
未知のウイルスに対する過剰防衛推奨の時期は過ぎました。
恐れすぎて自粛しすぎるのは間違いだと思います。
勇気を出して日常生活を戻すべきです。
僕は経済活動自粛の後遺症で沢山の死亡者が出る次のフェーズを怖れています。",2020/10/3,医療・健康,7000,2237,2022/10/3,日本,https://www.buzzfeed.com/jp/yutochiba/covid-19-fatality-rate,"日本の新型コロナ死亡率、「1千万分の1」は誤り。致死率も低下する中、「現在の対策は過剰」は本当か？

「現在の日本の新型コロナウイルスは 1/10000000の死亡率です」という誤った情報が拡散している。10月20日時点での日本における新型コロナウイルス感染症による死亡者数は1672人。人口100万人当たりに置き換えると、死亡者は13.2人 / 100万人だ。",2020/10/20,誤り,"高須さんの示す死亡率が正確ならば、全国の死亡者はこれまでに12.6人となる。しかし、10月20日時点での日本における新型コロナウイルス感染症による死亡者数は1672人だ。

人口100万人当たりに置き換えると、死亡者は13.2人 / 100万人。高須さんのツイート内容と比較するため1000万人あたりで整理すると、新型コロナによる死亡者は132人 / 1000万人だ。

また、国立感染症研究所の感染症疫学センターが算出した調整致死率は8月30日時点では2.4%だ。

こうしたデータを踏まえると、高須さんのツイートは新型コロナのリスクを過少に評価していると言わざるを得ない。",,,日本
15,https://www.nbcnews.com/tech/tech-news/troll-farms-macedonia-philippines-pushed-coronavirus-disinformation-facebook-n1218376,Website,"Troll farms from North Macedonia and the Philippines pushed coronavirus disinformation on Facebook
Facebook banned one of the most prolific pushers of medical disinformation after finding its articles had been spread for foreign trolls.
By Ben Collins and Brandy Zadrozny
One of the largest publishers of coronavirus disinformation on Facebook has been banned from the platform for using content farms from North Macedonia and the Philippines, Facebook said on Friday.
The publisher, Natural News, was one of the most prolific pushers of the viral “Plandemic” conspiracy video, which falsely claimed that the coronavirus is part of an elaborate government plot to control the populace through vaccines, and erroneously claimed that wearing a mask increases the risk of catching the coronavirus.
Facebook said that it had found foreign trolls repeatedly posted content from Natural News, an anti-vaccination news site that frequently posts false coronavirus conspiracy theories about 5G towers and Bill Gates. They also posted content from Natural News' sister websites, NewsTarget and Brighteon, in an effort to artificially inflate their reach.
“We removed these Pages for spammy and abusive behavior, not the content they posted. They misled people about the popularity of their posts and relied on content farms in North Macedonia and the Philippines,” Facebook said in a statement.
Download the NBC News app for full coverage of the coronavirus outbreak
Facebook said the actions came as part of its routine enforcement against spam networks. Among other irregular behaviors, Natural News posted its content at an unusually high frequency, attempting to evade rate limits, which effectively tripped Facebook’s spam alarms, the company said.
Natural News’ official Facebook page was banned from Facebook last year, but the site evaded the ban by posting content on Natural News-branded disinformation groups titled “Amazing Cures” and “GMO Dangers,” which had hundreds of thousands of followers.
Russia and China spread coronavirus conspiracies about US in Middle East
May 27, 202005:01
After Facebook’s discovery of foreign platform manipulation, the company banned all users from posting links to Natural News and its sister sites across the entirety of the site on May 19.
Natural News is a website owned and operated by Mike Adams, a dietary supplement purveyor who goes by the moniker “The Health Ranger.” Adam's operation is by farthe worst spreader of health misinformation online, according to an NBC News analysis.
Last year, the website hosted the most engaged-with article about cancer on the internet. The April article, “Cancer industry not looking for a cure; they’re too busy making money,” which promoted the baseless conspiracy theory that “Big Pharma” is hiding a known cure for cancer to keep people sick, garnered 5.4 million shares, comments and reactions, mostly on Facebook, according to data compiled through BuzzSumo, a social media analytics company.
Full coverage of the coronavirus outbreak
Over its 25 years of operation, Natural News has hosted thousands of articles that reject scientific consensus, promote fake cures and spread conspiracy theories. Its articles have also targeted scientists and doctors for harassment and violence. In April, the site had 3.5 million unique viewers, according to the internet analytics company SimilarWeb.
Recommended
Hurricane Ian
Internet access down across Florida areas hit by Hurricane Ian
Video Games
Google to shut down gaming service Stadia as CEO continues cost-cutting efforts
Natural News was banned by Facebook in June 2019 for using “misleading or inaccurate information” to attract engagement, according to a statement from Facebook. Natural News had nearly 3 million followers at the time.
“It’s long overdue,” said David Gorski, an oncologist at Wayne State University who writes about health misinformation and pseudoscience at the website Science Based Medicine. “Natural News and Mike Adams have been as harmful to public discourse on science, medicine, and also politics as Alex Jones, whom he very much resembles.”
Adams did not respond to a request for comment, but addressed the ban on his website on Tuesday, calling it “digital book burning” and urging readers to complain to Facebook and file a civil rights complaint with the Department of Justice.
Avaaz, an activist organization that campaigns against disinformation online, released a study on Friday claiming that Natural News reached new heights after its initial ban last year by creating informal subgroups that spammed the social media network with health disinformation.
“Since the takedown has happened, Natural News has reached hundreds of millions of people by utilizing an entire universe of pages that are pushing this disinformation,” said Luca Nicotra, a researcher and senior campaigner at Avaaz.
Avaaz’s research found that Natural News’ content had more engagement on Facebook than links to the WHO and CDC combined over the last year.
Nicotra called Facebook’s move to ban links to Natural News “a very bold move, and something usually reserved for spammers.” He said he’s “happy” with Facebook’s major step to crack down on what he called a “serial misinformer,” while adding that more work needed to be done to keep users safe.
“What’s needed is a major detox, a systemic solution to quarantine serial health misinformers. If they don’t, their lies and conspiracies could contaminate millions more and threaten the global response to Covid-19,” Nicotra said.
CORRECTION (May 29, 2020, 8:04 p.m. ET): An earlier version of this article misstated the name of the country where some of the troll farms operated. It is North Macedonia, not Macedonia.
",2020/5/30,医療・健康,,,2022/9/30,アメリカ,https://www.buzzfeed.com/jp/kotahatachi/cdc-natural-immunity-covid19,"「CDCがワクチンよりも自然免疫の方が効果があると認めた」は誤り。コロナ感染めぐり拡散、実際は「迷信」と指摘
CDCは公式サイト上で、今回拡散していたような「COVID-19に感染して得られる自然免疫は、COVID-19のワクチン接種で得られる免疫よりも優れています」とする言説を「myth（迷信、誤った通説）」とし、ワクチン接種を推奨している。
新型コロナウイルスのワクチン接種をめぐり、アメリカ疾病予防管理センター（CDC）が「ワクチンよりも自然免疫の方が効果があることを認めた」として、ワクチン接種を否定するような情報がSNSで拡散している。
これは誤りだ。CDCはそのような発表をしていない。この場合「自然免疫」はコロナに感染することで得る免疫を指しているとみられるが、CDCは感染にはさまざまなリスクがあるとして、ワクチン接種を推奨している。",2022/9/5,誤り,https://www.cdc.gov/coronavirus/2019-ncov/vaccines/facts.html,,,日本
16,https://twitter.com/Jin115/status/1242822630115168256?s=20&t=yfXSnL_rYzbKeNs5v0ZwLg,Twitter,【ヤバイ】東京封鎖宣言で、パニック状態に突入！ スーパーがとんでもない混雑になり水・食料品が買い占めで消える・・・,2020/3/25,医療・健康,375,427,2022/10/3,日本,https://www.buzzfeed.com/jp/kotahatachi/rokkudaunpanikkudegaruni,"「東京ロックダウン決定」「首都封鎖宣言」危機感あおる誤情報に注意
感染爆発に至るか否かの重大局面にあるとして、週末の外出自粛や自宅勤務、夜間の外出自粛を呼びかけた東京都の小池百合子知事。感染爆発（オーバーシュート）を防ぎ、生活や経済などへの影響が著しい「ロックダウン」（都市封鎖）を招かない狙いがある。",2020/3/26,誤り,"「強制的な移動制限」については西村康稔担当相が3月11日の衆議院内閣委員会で、先日成立された新型コロナウイルス対策特措法ではなく、感染症法を適用することで可能になるとの見解を示している。

同法33条には72時間以内という条件つきで、都道府県知事が「病原体に汚染され、又は汚染された疑いがある場所の交通を制限し、又は遮断することができる」と定められている。

しかし、この対象は「エボラ出血熱」などの一類感染症のみで、新型コロナウイルス感染症は、現時点では含まれない。このため西村担当相は、実際の交通制限や遮断には、政令改正の手続きが必要になるとしている。

いずれにせよ、現段階では、東京を含む国内の都市でロックダウンは実施されていない。",https://elaws.e-gov.go.jp/document?lawid=410AC0000000114,https://elaws.e-gov.go.jp/document?lawid=424AC0000000031#D,日本
17,https://mainichi.jp/articles/20200223/k00/00m/010/065000c,新聞,新型肺炎　医療用マスク、自治体・病院に優先供給　厚労省,2020/2/23,医療・健康,,,2022/10/3,日本,https://www.buzzfeed.com/jp/kensukeseya/covid-mask-fc,"拡散した「政府が日の丸マスクを生産」との誤情報　メーカー“法的措置”検討も視野

新型コロナウイルスの感染拡大に伴い、政府が「マスク不足に対応し日の丸を冠したマスクを生産」との情報が、Twitterを中心に拡散した。しかし、これは誤りだ。

毎日新聞は2月23日、記事「新型肺炎　医療用マスク、自治体・病院に優先供給　厚労省」を配信した。

厚労省が、2月下旬から医療用マスクについて、都道府県や医療機関に優先的に供給されるよう対策に乗り出す方針だと伝えた記事だった。この中で、毎日新聞は日の丸があしらわれたマスクの写真を使用した。

写真説明には「新型コロナウイルスの感染拡大で国内外から注文が殺到している高機能マスク＝愛知県豊橋市で2020年1月30日午後1時19分」とあった。

すると、Twitterなどで、この写真や記事を根拠とする形で「厚労省がマスク不足に対応し日の丸を冠したマスクを生産」といった、次のような投稿が相次いだ。

「これを作るのに、コストどのくらいあがったんだろう。こんなことより、枚数だろうに」「なぜかマスクに日の丸。一刻も早く、多く必要という中、作業増やして意味わからない」「危機管理能力が無い、官僚達だもんなぁ！効率的な作業が出来ない人達の集まり！」

Twitterでは他のユーザーから誤りを指摘され、すでに削除された投稿もあるが、いくつかのツイートは残り、今も憶測を投稿するユーザーもいる。",2020/3/2,誤り,"このマスクは2015年に発売された商品であり、そもそも記事には、そのように示す表記は一切ない。

そして、毎日新聞は当該マスク写真を「イメージ画像として使用した」とし、厚労省もメーカーに特定のマスクの生産を依頼するといった事実は「ありません」とBuzzFeed Newsの取材に答えた。

メーカー自身も「そのような事実は一切ない」と全面的に否定している。",,,日本
18,https://twitter.com/katsuyatakasu/status/1224869523460771840?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1224869523460771840%7Ctwgr%5Ebd9c3e3ac1322cc81b22fb64db4098218e366f2a%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.buzzfeed.com%2Fjp%2Fyutochiba%2Fhpv-takasu,Twitter,"きみは馬鹿じゃないか！
子宮頸癌はコンドームを一瞬つければ防げるが新型コロナウイルスはマスクをつけっぱなしにしても感染する可能性があるんだよ。同時に何人にもうつせるのだ。
危険性は比べものにならん",2020/2/5,医療・健康,12800,3342,2022/10/4,日本,https://www.buzzfeed.com/jp/yutochiba/hpv-takasu,ツイートに対し、元記事で紹介されていた神戸大学教授、感染症の専門家・岩田健太郎医師は「防げません。少なくとも防ぎきれません」とコメント。また、感染症対策コンサルタントの堀成美さんをはじめ、多くの医療関係者もこの情報の誤りを指摘している。,2020/2/5,誤り,医学的に誤り,,,
19,https://st.benesse.ne.jp/ninshin/content/?id=2630,Website,"注目したいのは、精神面。とくに、「不安や過度のストレスはつわりを悪化させる」といわれています。つわりを悪化させないようにするには、できるだけリラックスを心がけ、自律神経のバランスを整えるようにするといいですね。
また、スマホやパソコンの画面の見すぎなど、目の使いすぎもつわりを悪化させます。とくに就寝前はスマホやパソコンの画面を見ないようにしましょう。",2017/9/6,医療・健康,,,2022/10/4,日本,https://www.buzzfeed.com/jp/kotahatachi/tamahiyo,"こういった要素がつわりの軽重に影響を及ぼすとする情報は、『たまひよ』に限らず一般的にも広がっているが、医学的には「誤り」だ。
産婦人科医の重見大介さん（公衆衛生学修士）は、BuzzFeed Newsの取材に「つわりは個人差がとても大きく、重い人や軽い人を単純な要素から予測することは医学的には不可能です」と指摘する。",2021/10/18,誤り,つわりは個人差がとても大きく、重い人や軽い人を単純な要素から予測することは医学的には不可能,,,
20,,Twitter,"ネット上に拡散しているのは「スペイン風邪で子どもを亡くした与謝野晶子が、まるで今を見ているような文章を残している」という情報だ。
1918?19年、世界をインフルエンザが襲い、世界で数千万人日本でも38万人の死亡者が出た。俗に「スペイン風邪」と呼ばれるパンデミックだ。
その時代を生きていた彼女の「文章」とは、1918年11月3日に「横濱貿易新報」（いまの神奈川新聞）に記した「感冒の床」の一節だ。
「政府はなぜいち早く　この危険を防止するために… 一時的休業を命じなかったのでしょうか」
この情報は4.6万リツイート、9.3万いいねされるなど、大きな反響を呼んでいる。ツイートをまとめるサイト「Togetter」（すでに削除）やトレンドブログなどにも取り上げられていることも確認できた。",,医療・健康,,,2022/10/3,日本,https://www.buzzfeed.com/jp/kotahatachi/spain-flu,"「与謝野晶子がスペイン風邪で子どもを亡くした」は誤り。新型コロナで拡散したが…
ネット上では彼女が1918年11月3日に「横濱貿易新報」（いまの神奈川新聞）に記した「感冒の床」の一節が拡散している。",2020/4/8,誤り,"彼女は12人の子どもをもうけたが、そのうち亡くなったのは6男の寸。1917年に生まれ、その2日後に死亡している。一方で、スペイン風邪が流行した時期は1918?19年だ。整合性が取れないことがわかる。

BuzzFeed Newsの取材に対し、与謝野晶子記念館を運営する「さかい利晶の杜」の担当者はこう説明する。

「与謝野晶子の6男はたしかに亡くなっていますが、スペイン風邪のはやる前年でした。『感冒の床』には小学校に通った子どもから順々に広がって感染をしたことは記されていますが、子どもを失ったとするような記載はありません」",,,日本
